category,number,name,team,year,brand,set,flags,front_image,back_image
Baseball,78,Dallas Keuchel,Chicago White Sox,2020,Panini,2020 Panini Prizm - White Wave Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369092992-front.jpg,
Baseball,21,Kirby Yates,San Diego Padres,2020,Prizm,"2020 Panini Prizm - Red, White and Blue Prizm",,https://storage.googleapis.com/collx-user-cards/232360-369092933-front.jpg,
Baseball,193,Albert Abreu,New York Yankees,2021,Panini,2021 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369092598-front.jpg,
Baseball,19,Jake Fraley,Seattle Mariners,2020,Prizm,2020 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369092525-front.jpg,
Baseball,186,Vladimir Guerrero Jr,Toronto Blue Jays,2021,Prizm,2021 Panini Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369092432-front.jpg,
Baseball,72,Deivy Grullon,Philadelphia Phillies,2020,Panini,"2020 Panini Prizm - Red, White and Blue Prizm",RC,https://storage.googleapis.com/collx-user-cards/232360-369092121-front.jpg,
Baseball,39,Bobby Bradley,Cleveland Indians,2020,Prizm,2020 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369092096-front.jpg,
Baseball,25,Isan Diaz,Miami Marlins,2020,Panini,2020 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369092064-front.jpg,
Baseball,96,Jonathan Hernandez,Texas Rangers,2020,Prizm,2020 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369092011-front.jpg,
Baseball,118,Monte Harrison,Miami Marlins,2021,Prizm,2021 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369091925-front.jpg,
Baseball,85,Clayton Kershaw,Los Angeles Dodgers,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369091821-front.jpg,
Baseball,98,Yermin Mercedes,Chicago White Sox,2021,Prizm,2021 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369091448-front.jpg,
Baseball,4,Vladimir Guerrero Jr,Toronto Blue Jays,2022,Donruss,2022 Donruss,,https://storage.googleapis.com/collx-user-cards/232360-369091135-front.jpg,
Baseball,85,Cristian Javier,Houston Astros,2021,Select,2021 Panini Select,RC,https://storage.googleapis.com/collx-user-cards/232360-369090984-front.jpg,
Baseball,84,Tyler Stephenson,Cincinnati Reds,2021,Panini,2021 Panini Select,RC,https://storage.googleapis.com/collx-user-cards/232360-369090933-front.jpg,
Baseball,84,Jose Altuve,Houston Astros,2013,Select,2013 Panini Select - Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369086393-front.jpg,
Baseball,41,Roy Halladay,Philadelphia Phillies,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369086273-front.jpg,
Baseball,55,Troy Tulowitzki,Colorado Rockies,2013,Select,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369085820-front.jpg,
Baseball,25M-S5,Stephen Strasburg,Washington Nationals,2020,Panini,2020 Panini Select - 25-Man,,https://storage.googleapis.com/collx-user-cards/232360-369082955-front.jpg,
Baseball,E-5,Carlos Correa,Houston Astros,2021,Panini,2021 Panini Diamond Kings - Elegance,,https://storage.googleapis.com/collx-user-cards/232360-369077622-front.jpg,
Baseball,134,Kris Bubic,Kansas City Royals,2021,Panini,2021 Panini Diamond Kings,"SP, RC",https://storage.googleapis.com/collx-user-cards/232360-369077522-front.jpg,
Baseball,35,Keegan Akin,Baltimore Orioles,2021,Panini,2021 Panini Diamond Kings - Artist's Proof Blue,RC,https://storage.googleapis.com/collx-user-cards/232360-369077501-front.jpg,
Baseball,DDK-CR,Tyler Stephenson,Cincinnati Reds,2021,Panini,2021 Panini Diamond Kings - Debut Diamond Kings Artist Proof Blue,,https://storage.googleapis.com/collx-user-cards/232360-369077471-front.jpg,
Baseball,129,Tyler Stephenson,Cincinnati Reds,2021,Panini,2021 Panini Diamond Kings - Framed Blue,RC,https://storage.googleapis.com/collx-user-cards/232360-369077446-front.jpg,
Baseball,7,Pete Rose,Cincinnati Reds,2021,Panini,2021 Panini Diamond Kings,,https://storage.googleapis.com/collx-user-cards/232360-369077424-front.jpg,
Baseball,34,William Contreras,Atlanta Braves,2021,Panini,2021 Panini Diamond Kings,RC,https://storage.googleapis.com/collx-user-cards/232360-369077340-front.jpg,
